variant,auroc,auprc,precision,recall,f1,fpr,tpr,tp,fp,tn,fn,median_anomaly_score,paired_anomaly_gt_clean,paired_n,n,threshold
pixel_only_mean,0.7331986860795454,0.9560982034968275,0.9537223340040242,0.44886363636363635,0.610431423052157,0.1796875,0.44886363636363635,474,23,105,582,2.581690485146035,0.9289772727272727,1056,1184,3.046258417221116
DINO_only_mean,0.8259129379734849,0.9684906617643535,0.9582836710369488,0.7613636363636364,0.8485488126649077,0.2734375,0.7613636363636364,804,35,93,252,1.1605077408927125,0.8238636363636364,1056,1184,0.27350429753012817
spectral_only_mean,0.8632368607954546,0.9811239098694067,0.9805825242718447,0.6695075757575758,0.7957231288688802,0.109375,0.6695075757575758,707,14,114,349,3.4696695684718493,0.9933712121212122,1056,1184,2.4084435327258644
DINO_spectral_mean,0.9326985677083334,0.9914471830660896,0.9677093844601413,0.9081439393939394,0.9369809477283831,0.25,0.9081439393939394,959,32,96,97,2.3009612584907835,0.978219696969697,1056,1184,0.6124267766787462
DINO_spectral_max,0.8918531013257576,0.9845093821376117,0.9787798408488063,0.6988636363636364,0.8154696132596684,0.125,0.6988636363636364,738,16,112,318,3.4913691941172718,0.9715909090909091,1056,1184,2.4084435327258644
pixel_DINO_mean,0.839547821969697,0.9775676881801173,0.9853372434017595,0.6363636363636364,0.7733026467203683,0.078125,0.6363636363636364,672,10,118,384,1.8460590392542344,0.9318181818181818,1056,1184,1.3581656666324806
pixel_DINO_max,0.7618741122159091,0.9596824732533574,0.954183266932271,0.45359848484848486,0.6148908857509628,0.1796875,0.45359848484848486,479,23,105,577,2.7593032826329886,0.875,1056,1184,3.046258417221116
pixel_spectral_mean,0.8469090317234849,0.9780017430665572,0.9797979797979798,0.6429924242424242,0.7764436821040595,0.109375,0.6429924242424242,679,14,114,377,3.063649674314911,0.9848484848484849,1056,1184,2.310135812328953
pixel_spectral_max,0.864694306344697,0.9812250972872323,0.9665379665379665,0.7111742424242424,0.8194217130387343,0.203125,0.7111742424242424,751,26,102,305,4.0822556328964135,0.9621212121212122,1056,1184,3.046258417221116
pixel_DINO_spectral_mean,0.8980749881628788,0.9863884263327356,0.9735935706084959,0.803030303030303,0.8801245459263103,0.1796875,0.803030303030303,848,23,105,208,2.4706322500918727,0.978219696969697,1056,1184,1.136783761392357
pixel_DINO_spectral_max,0.8732762192234849,0.9821709033000787,0.9666666666666667,0.7140151515151515,0.8213507625272332,0.203125,0.7140151515151515,754,26,102,302,4.0822556328964135,0.9564393939393939,1056,1184,3.046258417221116
equal_four_mean,0.885202118844697,0.9848529892354089,0.9699421965317919,0.7945075757575758,0.8735033836543468,0.203125,0.7945075757575758,839,26,102,217,2.311353303115659,0.9488636363636364,1056,1184,0.9571491354436967
equal_four_max,0.8807631983901515,0.9837705943626264,0.9687875150060024,0.7642045454545454,0.8544203282159873,0.203125,0.7642045454545454,807,26,102,249,4.274148615787216,0.9337121212121212,1056,1184,3.046258417221116
