variant,dimension,value,auroc,auprc,precision,recall,f1,fpr,tpr,tp,fp,tn,fn,median_anomaly_score,paired_anomaly_gt_clean,paired_n,n,threshold
pixel_only_mean,family,block corruption,0.6032307942708334,0.686878597826744,0.7088607594936709,0.2916666666666667,0.41328413284132837,0.1796875,0.2916666666666667,56,23,105,136,1.3165920197079428,0.859375,192,320,3.046258417221116
pixel_only_mean,family,blur/noise,0.5653483072916666,0.49222512098793975,0.54,0.28125,0.36986301369863017,0.1796875,0.28125,27,23,105,69,1.15962445126662,0.875,96,224,3.046258417221116
pixel_only_mean,family,clipping,0.8646647135416666,0.8569190011158666,0.7325581395348837,0.65625,0.6923076923076923,0.1796875,0.65625,63,23,105,33,4.5351627743991845,1.0,96,224,3.046258417221116
pixel_only_mean,family,dead lines/pixels,0.76220703125,0.81773990958921,0.7766990291262136,0.4166666666666667,0.5423728813559322,0.1796875,0.4166666666666667,80,23,105,112,2.6193189648461717,1.0,192,320,3.046258417221116
pixel_only_mean,family,foreign/synthetic contamination,0.9166666666666666,0.8927656520441551,0.7653061224489796,0.78125,0.7731958762886597,0.1796875,0.78125,75,23,105,21,3.9887638457505896,1.0,96,224,3.046258417221116
pixel_only_mean,family,missing crop,0.7465006510416666,0.660167101420129,0.5818181818181818,0.3333333333333333,0.423841059602649,0.1796875,0.3333333333333333,32,23,105,64,2.522902079648735,0.96875,96,224,3.046258417221116
pixel_only_mean,family,patch duplication,0.5589192708333334,0.49830123254516967,0.5306122448979592,0.2708333333333333,0.35862068965517235,0.1796875,0.2708333333333333,26,23,105,70,1.0387288877333278,0.6666666666666666,96,224,3.046258417221116
pixel_only_mean,family,stripes,0.8411051432291666,0.8704493409010534,0.8333333333333334,0.5989583333333334,0.696969696969697,0.1796875,0.5989583333333334,115,23,105,77,3.546974342987421,0.9947916666666666,192,320,3.046258417221116
pixel_only_mean,severity,0.2,0.6748268821022727,0.8423696248240274,0.8368794326241135,0.3352272727272727,0.4787018255578093,0.1796875,0.3352272727272727,118,23,105,234,1.8071532247293396,0.9488636363636364,352,480,3.046258417221116
pixel_only_mean,severity,0.5,0.7376819957386364,0.8833897092944046,0.8715083798882681,0.4431818181818182,0.5875706214689266,0.1796875,0.4431818181818182,156,23,105,196,2.541232574617161,0.9119318181818182,352,480,3.046258417221116
pixel_only_mean,severity,0.8,0.7870871803977273,0.9135612080609217,0.8968609865470852,0.5681818181818182,0.6956521739130436,0.1796875,0.5681818181818182,200,23,105,152,3.428488688875656,0.9261363636363636,352,480,3.046258417221116
DINO_only_mean,family,block corruption,0.7283935546875,0.7826558401670134,0.7586206896551724,0.5729166666666666,0.6528189910979227,0.2734375,0.5729166666666666,110,35,93,82,0.5542648907107726,0.75,192,320,0.27350429753012817
DINO_only_mean,family,blur/noise,0.9034830729166666,0.8591542315340575,0.7058823529411765,0.875,0.7813953488372093,0.2734375,0.875,84,35,93,12,1.8877445148561485,0.90625,96,224,0.27350429753012817
DINO_only_mean,family,clipping,0.8319498697916666,0.7725522857205601,0.6788990825688074,0.7708333333333334,0.7219512195121952,0.2734375,0.7708333333333334,74,35,93,22,1.2609377166510365,0.8020833333333334,96,224,0.27350429753012817
DINO_only_mean,family,dead lines/pixels,0.83837890625,0.864252245242668,0.8022598870056498,0.7395833333333334,0.7696476964769647,0.2734375,0.7395833333333334,142,35,93,50,1.3997971052733538,0.8177083333333334,192,320,0.27350429753012817
DINO_only_mean,family,foreign/synthetic contamination,0.842529296875,0.6972151576329885,0.7058823529411765,0.875,0.7813953488372093,0.2734375,0.875,84,35,93,12,0.827295819376188,0.8541666666666666,96,224,0.27350429753012817
DINO_only_mean,family,missing crop,0.7838541666666666,0.6493944561601571,0.65,0.6770833333333334,0.6632653061224489,0.2734375,0.6770833333333334,65,35,93,31,0.775980202110985,0.7395833333333334,96,224,0.27350429753012817
DINO_only_mean,family,patch duplication,0.71875,0.6460308539581712,0.6022727272727273,0.5520833333333334,0.5760869565217391,0.2734375,0.5520833333333334,53,35,93,43,0.5778374440084946,0.7083333333333334,96,224,0.27350429753012817
