variant,dimension,value,auroc,auprc,precision,recall,f1,fpr,tpr,tp,fp,tn,fn,median_anomaly_score,paired_anomaly_gt_clean,paired_n,n,threshold
pixel_mean,family,dead_pixels,0.87109375,0.9230445418039464,0.8461538461538461,0.22916666666666666,0.360655737704918,0.125,0.22916666666666666,11,2,14,37,1.1889832615852356,1.0,48,64,1.7241846323013306
pixel_mean,family,foreign_content,0.6341145833333334,0.8101236152871837,0.75,0.125,0.21428571428571427,0.125,0.125,6,2,14,42,0.10097941383719444,0.8125,48,64,1.7241846323013306
pixel_mean,family,local_blur,0.44921875,0.7247822219328813,0.75,0.125,0.21428571428571427,0.125,0.125,6,2,14,42,-0.2145419418811798,0.14583333333333334,48,64,1.7241846323013306
pixel_mean,family,missing_patch,0.7877604166666666,0.8819565377280111,0.7777777777777778,0.14583333333333334,0.24561403508771928,0.125,0.14583333333333334,7,2,14,41,0.6056082248687744,0.9166666666666666,48,64,1.7241846323013306
pixel_mean,family,patch_duplication,0.5078125,0.7725343173285796,0.75,0.125,0.21428571428571427,0.125,0.125,6,2,14,42,-0.12161162868142128,0.6458333333333334,48,64,1.7241846323013306
pixel_mean,family,stripes,0.5338541666666666,0.7827965723337844,0.75,0.125,0.21428571428571427,0.125,0.125,6,2,14,42,-0.10971570387482643,0.6875,48,64,1.7241846323013306
pixel_mean,severity,0.15,0.6002604166666666,0.8927880911863356,0.8666666666666667,0.13541666666666666,0.2342342342342342,0.125,0.13541666666666666,13,2,14,83,0.1865558624267578,0.65625,96,112,1.7241846323013306
pixel_mean,severity,0.3,0.6243489583333334,0.9009987477418343,0.8666666666666667,0.13541666666666666,0.2342342342342342,0.125,0.13541666666666666,13,2,14,83,0.1755228266119957,0.6979166666666666,96,112,1.7241846323013306
pixel_mean,severity,0.5,0.6673177083333334,0.9144192435282155,0.8888888888888888,0.16666666666666666,0.2807017543859649,0.125,0.16666666666666666,16,2,14,80,0.41256676614284515,0.75,96,112,1.7241846323013306
texture_mean,family,dead_pixels,0.5234375,0.79714466867241,1.0,0.020833333333333332,0.04081632653061225,0.0,0.020833333333333332,1,0,16,47,0.08101309090852737,0.625,48,64,1.212457537651062
texture_mean,family,foreign_content,0.6393229166666666,0.8408381480533701,1.0,0.08333333333333333,0.15384615384615385,0.0,0.08333333333333333,4,0,16,44,0.22994733601808548,1.0,48,64,1.212457537651062
texture_mean,family,local_blur,0.66796875,0.8381092024071506,0.0,0.0,0.0,0.0,0.0,0,0,16,48,0.2508559823036194,0.7083333333333334,48,64,1.212457537651062
texture_mean,family,missing_patch,0.7760416666666666,0.9058622644738452,1.0,0.08333333333333333,0.15384615384615385,0.0,0.08333333333333333,4,0,16,44,0.8045627474784851,0.9583333333333334,48,64,1.212457537651062
texture_mean,family,patch_duplication,0.3841145833333333,0.7043270411083589,0.0,0.0,0.0,0.0,0.0,0,0,16,48,-0.15412499010562897,0.08333333333333333,48,64,1.212457537651062
texture_mean,family,stripes,0.21354166666666666,0.6109314287363177,0.0,0.0,0.0,0.0,0.0,0,0,16,48,-0.6732783317565918,0.0,48,64,1.212457537651062
texture_mean,severity,0.15,0.5045572916666666,0.871096837339308,0.0,0.0,0.0,0.0,0.0,0,0,16,96,-0.005801372928544879,0.5416666666666666,96,112,1.212457537651062
texture_mean,severity,0.3,0.5416666666666666,0.8863023190005737,1.0,0.020833333333333332,0.04081632653061225,0.0,0.020833333333333332,2,0,16,94,0.10135302320122719,0.5625,96,112,1.212457537651062
texture_mean,severity,0.5,0.5559895833333334,0.8973657549890894,1.0,0.07291666666666667,0.13592233009708737,0.0,0.07291666666666667,7,0,16,89,0.2508559823036194,0.5833333333333334,96,112,1.212457537651062
spectral_mean,family,dead_pixels,0.48958333333333337,0.7382357160575462,0.7,0.14583333333333334,0.2413793103448276,0.1875,0.14583333333333334,7,3,13,41,0.2507995739579201,0.3125,48,64,3.903651475906372
spectral_mean,family,foreign_content,0.4856770833333333,0.7552054743792861,0.625,0.10416666666666667,0.1785714285714286,0.1875,0.10416666666666667,5,3,13,43,0.15185265988111496,0.3958333333333333,48,64,3.903651475906372
spectral_mean,family,local_blur,0.5091145833333334,0.7700908080911169,0.7,0.14583333333333334,0.2413793103448276,0.1875,0.14583333333333334,7,3,13,41,0.30377453565597534,0.6041666666666666,48,64,3.903651475906372
spectral_mean,family,missing_patch,0.6223958333333334,0.8156569292713846,0.7272727272727273,0.16666666666666666,0.2711864406779661,0.1875,0.16666666666666666,8,3,13,40,1.0704014897346497,0.7916666666666666,48,64,3.903651475906372
spectral_mean,family,patch_duplication,0.4908854166666667,0.7447844508345148,0.6666666666666666,0.125,0.21052631578947367,0.1875,0.125,6,3,13,42,0.38314320147037506,0.4375,48,64,3.903651475906372
spectral_mean,family,stripes,0.7552083333333334,0.9069563497177957,0.8695652173913043,0.4166666666666667,0.5633802816901409,0.1875,0.4166666666666667,20,3,13,28,2.859760880470276,0.7291666666666666,48,64,3.903651475906372
spectral_mean,severity,0.15,0.5013020833333334,0.8581889207356868,0.7857142857142857,0.11458333333333333,0.19999999999999998,0.1875,0.11458333333333333,11,3,13,85,0.30777348577976227,0.4791666666666667,96,112,3.903651475906372
spectral_mean,severity,0.3,0.560546875,0.8749543541660445,0.8125,0.13541666666666666,0.23214285714285712,0.1875,0.13541666666666666,13,3,13,83,0.7467313706874847,0.53125,96,112,3.903651475906372
spectral_mean,severity,0.5,0.6145833333333334,0.913420682766844,0.90625,0.3020833333333333,0.453125,0.1875,0.3020833333333333,29,3,13,67,0.9468918442726135,0.625,96,112,3.903651475906372
pixel_texture_mean,family,dead_pixels,0.7838541666666666,0.8882192344984317,0.9,0.1875,0.31034482758620696,0.0625,0.1875,9,1,15,39,0.563336044549942,1.0,48,64,1.3648806810379028
pixel_texture_mean,family,foreign_content,0.65625,0.8332905837104355,0.8333333333333334,0.10416666666666667,0.1851851851851852,0.0625,0.10416666666666667,5,1,15,43,0.11722761765122414,1.0,48,64,1.3648806810379028
pixel_texture_mean,family,local_blur,0.5950520833333334,0.8044637241445491,0.8571428571428571,0.125,0.21818181818181817,0.0625,0.125,6,1,15,42,-0.010523244738578796,0.7708333333333334,48,64,1.3648806810379028
pixel_texture_mean,family,missing_patch,0.7890625,0.8850928736776127,0.8571428571428571,0.125,0.21818181818181817,0.0625,0.125,6,1,15,42,0.623136043548584,0.9791666666666666,48,64,1.3648806810379028
pixel_texture_mean,family,patch_duplication,0.4244791666666667,0.7373420010404148,0.75,0.0625,0.11538461538461539,0.0625,0.0625,3,1,15,45,-0.18475959450006485,0.0625,48,64,1.3648806810379028
pixel_texture_mean,family,stripes,0.37109375,0.6891566812084784,0.5,0.020833333333333332,0.039999999999999994,0.0625,0.020833333333333332,1,1,15,47,-0.3789038360118866,0.125,48,64,1.3648806810379028
pixel_texture_mean,severity,0.15,0.5768229166666666,0.8875602563105879,0.9,0.09375,0.169811320754717,0.0625,0.09375,9,1,15,87,-0.010523244738578796,0.65625,96,112,1.3648806810379028
pixel_texture_mean,severity,0.3,0.6022135416666666,0.8952824817035507,0.8888888888888888,0.08333333333333333,0.15238095238095237,0.0625,0.08333333333333333,8,1,15,88,0.11272403225302696,0.6666666666666666,96,112,1.3648806810379028
pixel_texture_mean,severity,0.5,0.630859375,0.9054735868118563,0.9285714285714286,0.13541666666666666,0.23636363636363633,0.0625,0.13541666666666666,13,1,15,83,0.42544250190258026,0.6458333333333334,96,112,1.3648806810379028
pixel_texture_max,family,dead_pixels,0.8541666666666666,0.917319545376226,0.8461538461538461,0.22916666666666666,0.360655737704918,0.125,0.22916666666666666,11,2,14,37,1.1889832615852356,1.0,48,64,1.7241846323013306
pixel_texture_max,family,foreign_content,0.6575520833333334,0.8193664872172544,0.75,0.125,0.21428571428571427,0.125,0.125,6,2,14,42,0.27464963495731354,0.875,48,64,1.7241846323013306
pixel_texture_max,family,local_blur,0.6393229166666666,0.7911903589864848,0.75,0.125,0.21428571428571427,0.125,0.125,6,2,14,42,0.2508559823036194,0.5,48,64,1.7241846323013306
pixel_texture_max,family,missing_patch,0.7838541666666666,0.8794731115112963,0.7777777777777778,0.14583333333333334,0.24561403508771928,0.125,0.14583333333333334,7,2,14,41,0.9574427604675293,0.9583333333333334,48,64,1.7241846323013306
pixel_texture_max,family,patch_duplication,0.3880208333333333,0.7328609642804595,0.75,0.125,0.21428571428571427,0.125,0.125,6,2,14,42,-0.05022338405251503,0.20833333333333334,48,64,1.7241846323013306
pixel_texture_max,family,stripes,0.375,0.731270696737089,0.75,0.125,0.21428571428571427,0.125,0.125,6,2,14,42,-0.10971570387482643,0.3125,48,64,1.7241846323013306
pixel_texture_max,severity,0.15,0.5768229166666666,0.887517061466052,0.8666666666666667,0.13541666666666666,0.2342342342342342,0.125,0.13541666666666666,13,2,14,83,0.3026681989431381,0.625,96,112,1.7241846323013306
pixel_texture_max,severity,0.3,0.60546875,0.8987786517275728,0.8666666666666667,0.13541666666666666,0.2342342342342342,0.125,0.13541666666666666,13,2,14,83,0.4113987237215042,0.6145833333333334,96,112,1.7241846323013306
pixel_texture_max,severity,0.5,0.6666666666666666,0.9146309845720896,0.8888888888888888,0.16666666666666666,0.2807017543859649,0.125,0.16666666666666666,16,2,14,80,0.8384150266647339,0.6875,96,112,1.7241846323013306
pixel_spectral_mean,family,dead_pixels,0.7057291666666666,0.8492631350623839,0.9090909090909091,0.20833333333333334,0.3389830508474576,0.0625,0.20833333333333334,10,1,15,38,0.7632371485233307,1.0,48,64,2.6661183834075928
pixel_spectral_mean,family,foreign_content,0.5442708333333334,0.7685899095304694,0.8333333333333334,0.10416666666666667,0.1851851851851852,0.0625,0.10416666666666667,5,1,15,43,0.1317218467593193,0.625,48,64,2.6661183834075928
pixel_spectral_mean,family,local_blur,0.4856770833333333,0.7611119121496255,0.8,0.08333333333333333,0.1509433962264151,0.0625,0.08333333333333333,4,1,15,44,-0.08446645364165306,0.3541666666666667,48,64,2.6661183834075928
pixel_spectral_mean,family,missing_patch,0.7057291666666666,0.8450736199045381,0.8888888888888888,0.16666666666666666,0.2807017543859649,0.0625,0.16666666666666666,8,1,15,40,0.910212516784668,0.9375,48,64,2.6661183834075928
pixel_spectral_mean,family,patch_duplication,0.4934895833333333,0.7681186680583407,0.8333333333333334,0.10416666666666667,0.1851851851851852,0.0625,0.10416666666666667,5,1,15,43,-0.02011789381504059,0.5208333333333334,48,64,2.6661183834075928
pixel_spectral_mean,family,stripes,0.7356770833333334,0.8823247762799097,0.9444444444444444,0.3541666666666667,0.5151515151515151,0.0625,0.3541666666666667,17,1,15,31,1.8936673402786255,0.75,48,64,2.6661183834075928
pixel_spectral_mean,severity,0.15,0.5559895833333334,0.8770722007359786,0.9090909090909091,0.10416666666666667,0.1869158878504673,0.0625,0.10416666666666667,10,1,15,86,0.17018605768680573,0.65625,96,112,2.6661183834075928
pixel_spectral_mean,severity,0.3,0.61328125,0.891536256506102,0.9090909090909091,0.10416666666666667,0.1869158878504673,0.0625,0.10416666666666667,10,1,15,86,0.7175539433956146,0.6979166666666666,96,112,2.6661183834075928
pixel_spectral_mean,severity,0.5,0.666015625,0.9181621070926778,0.9666666666666667,0.3020833333333333,0.46031746031746024,0.0625,0.3020833333333333,29,1,15,67,0.9392313659191132,0.7395833333333334,96,112,2.6661183834075928
pixel_spectral_max,family,dead_pixels,0.7174479166666666,0.8071123446534264,0.7,0.14583333333333334,0.2413793103448276,0.1875,0.14583333333333334,7,3,13,41,1.2718179821968079,0.7083333333333334,48,64,3.903651475906372
pixel_spectral_max,family,foreign_content,0.5416666666666666,0.7725625859210514,0.625,0.10416666666666667,0.1785714285714286,0.1875,0.10416666666666667,5,3,13,43,0.38813480734825134,0.625,48,64,3.903651475906372
pixel_spectral_max,family,local_blur,0.4908854166666667,0.7654542792838285,0.7,0.14583333333333334,0.2413793103448276,0.1875,0.14583333333333334,7,3,13,41,0.30377453565597534,0.4166666666666667,48,64,3.903651475906372
pixel_spectral_max,family,missing_patch,0.6783854166666666,0.8328254654916966,0.7272727272727273,0.16666666666666666,0.2711864406779661,0.1875,0.16666666666666666,8,3,13,40,1.270700454711914,0.8541666666666666,48,64,3.903651475906372
pixel_spectral_max,family,patch_duplication,0.48958333333333337,0.7448075032780217,0.6666666666666666,0.125,0.21052631578947367,0.1875,0.125,6,3,13,42,0.38314320147037506,0.4583333333333333,48,64,3.903651475906372
pixel_spectral_max,family,stripes,0.75390625,0.906699376637971,0.8695652173913043,0.4166666666666667,0.5633802816901409,0.1875,0.4166666666666667,20,3,13,28,2.859760880470276,0.7083333333333334,48,64,3.903651475906372
pixel_spectral_max,severity,0.15,0.5546875,0.8700826005268589,0.7857142857142857,0.11458333333333333,0.19999999999999998,0.1875,0.11458333333333333,11,3,13,85,0.566941887140274,0.5625,96,112,3.903651475906372
pixel_spectral_max,severity,0.3,0.6061197916666666,0.8839402944184442,0.8125,0.13541666666666666,0.23214285714285712,0.1875,0.13541666666666666,13,3,13,83,1.196251928806305,0.625,96,112,3.903651475906372
pixel_spectral_max,severity,0.5,0.6751302083333334,0.9248154560382352,0.90625,0.3020833333333333,0.453125,0.1875,0.3020833333333333,29,3,13,67,1.6784327030181885,0.6979166666666666,96,112,3.903651475906372
complete_three_mean,family,dead_pixels,0.6796875,0.8478514028615883,0.8888888888888888,0.16666666666666666,0.2807017543859649,0.0625,0.16666666666666666,8,1,15,40,0.5410841107368469,1.0,48,64,2.1704964637756348
